상태,위도,경도
1,37.85652713,126.8799818
1,37.85582567,127.7419418
1,37.85448887,126.7848187
1,37.85339846,128.7879122
1,37.85224642,127.7403424
1,37.85119859,127.766124
1,37.83794277,127.0703615
1,37.83764114,127.6080283
1,37.83749535,127.2884011
1,37.83563581,127.555084
1,37.83243199,124.6994215
1,37.83173729,127.1389755
1,37.82996987,127.0519521
1,37.82789154,127.0961092
0,37.82613024,128.2651574
0,37.82584845,128.2662293
1,37.82584845,128.2662293
1,37.82334957,127.0883843
1,37.82106065,127.348842
1,37.81927674,126.9830274
1,37.81789899,127.0473644
1,37.81528155,127.1697445
1,37.81375377,127.0573057
0,37.80770949,127.9915786
1,37.80770949,127.9915786
1,37.80690342,126.9617907
1,37.80523756,127.4849445
0,37.80497288,128.1301797
1,37.80492404,128.9005397
1,37.8016909,126.8760283
1,37.80157054,127.1070574
1,37.80086837,126.2568915
1,37.80086837,126.2568915
1,37.80080913,126.7804326
1,37.79891742,127.0807978
1,37.79641608,127.1081173
1,37.79605405,126.9862754
1,37.79391473,127.865346
1,37.79125357,127.0837821
1,37.78821791,127.1222735
1,37.78707924,127.2305069
1,37.78539142,127.0276769
1,37.78141488,126.9836172
1,37.77882821,127.1487929
1,37.77605672,126.739166
1,37.77473041,126.7040427
1,37.77458099,126.7788394
1,37.77280984,128.9059634
1,37.77229622,127.9668121
1,37.77190783,126.7169297
0,37.77052799,126.2393489
1,37.77052799,126.2393489
1,37.76990935,126.4603441
1,37.76979728,128.8797349
1,37.76694202,126.7719027
0,37.76567973,128.1771598
0,37.76567973,128.1771598
1,37.76567973,128.1771598
1,37.76313515,127.0366842
1,37.76176051,127.0294294
1,37.76171191,126.7695809
1,37.76090422,126.4904829
1,37.7561208,127.9757839
1,37.75482516,126.7678593
1,37.75367971,126.7471197
1,37.75345044,128.8881936
1,37.75297872,127.1120801
1,37.75234134,126.7767905
1,37.75130671,127.1156224
1,37.75120787,127.7956194
1,37.75087999,127.0660987
1,37.75022588,126.4862897
1,37.75011237,127.0778898
1,37.74798782,126.7729911
1,37.74654515,127.1008465
1,37.74634448,127.0692853
1,37.74605315,127.0355865
1,37.74571785,127.2071914
1,37.74474737,126.807062
1,37.74449229,127.0469545
1,37.74443564,126.3904704
1,37.74433932,127.0586
1,37.74433175,126.4833896
1,37.7437261,126.5034668
0,37.74352459,127.8778563
1,37.74352459,127.8778563
1,37.74325558,126.8880299
1,37.7422996,128.8781724
1,37.7416482,128.9017107
1,37.74100883,127.0596049
1,37.74095266,127.038779
1,37.74022538,126.792715
1,37.73859855,127.0873713
1,37.7384797,127.9390585
1,37.73753274,127.2013691
0,37.73682305,127.577584
1,37.73617424,127.0906857
1,37.73442427,127.0601487
1,37.73381952,127.0510182
1,37.73280127,127.0553601
1,37.73186121,126.593527
1,37.73141317,127.0812825
1,37.73081178,127.6993605
1,37.73076839,126.7193687
0,37.73044707,128.4023675
0,37.73044707,128.4023675
1,37.72972523,127.0426618
1,37.72964527,128.9379889
1,37.72964527,128.9379889
1,37.72813036,127.0630884
0,37.7272979,127.941685
0,37.7272979,127.941685
1,37.7272979,127.941685
1,37.72644912,126.747235
1,37.72598452,126.7068911
1,37.72594478,127.0592706
1,37.72496872,126.7219723
1,37.72455084,127.2059619
1,37.72253954,127.0413827
1,37.72074703,126.3910456
1,37.72045375,126.6326841
1,37.71979152,126.7135938
1,37.71916228,127.1823507
1,37.7186824,127.1961732
1,37.71797547,126.5517557
1,37.71698987,127.1996938
1,37.71603092,126.9706612
1,37.71550157,126.851656
1,37.7145034,126.4802669
1,37.71383367,126.9046417
