시도,주소,학교명,상태,위도,경도
경기,경기도 양평군 개군면 하자포리자진개1길 23,개군초등학교,1,37.42768201,127.5346409
부산,부산광역시 부산진구 개금동476-1,개금초등학교,1,35.15432254,129.0199805
경북,경상북도 김천시 개령면 동부리60,개령초등학교,1,36.16760425,128.1922222
부산,부산광역시 부산진구 백양대로320번길40(개금동),개림초등학교,1,35.15606362,129.0163015
경기,경기도 안성시 금광면 외개산길 42(금광면),개산초등학교,1,36.98446647,127.3016021
울산,울산광역시 남구 선암동559-11,개운초등학교,1,35.51264296,129.3117868
부산,부산광역시 부산진구 백양관문로77번길 17. 개원초등학교 (개금동),개원초등학교,1,35.16478831,129.0285225
경북,경상북도 고령군 개진면 오사길83,개진초등학교,1,35.71649769,128.369069
경남,경상남도 고성군 개천면 옥천로1268,개천초등학교,1,35.09838843,128.2601184
부산,부산광역시 부산진구 백양대로208번길9(개금동)개포초등학교,개포초등학교,1,35.15849773,129.0266106
충남,충청남도 보령시 성주면 성주산로735,개화초등학교,1,36.30669533,126.6542789
경남,경상남도 고성군 거류면 당동리66,거류초등학교,1,34.99359665,128.4042563
전남,전라남도 여수시 삼산면거문학교길25,거문초등학교,1,34.02617764,127.312649
전남,전라남도 여수시 삼산면 동도리1012,거문초등학교동도분교장,1,34.04979802,127.3124367
충남,충청남도 아산시 송악면 외암로460,거산초등학교,1,36.69200739,126.9896117
강원,강원도 고성군 거진읍 거진리180,거성초등학교,1,38.45228384,128.4575787
경남,경상남도 거제시 상동동497,거제고현초등학교,1,34.87361044,128.6289198
경남,경상남도 거제시 상동5길 75-41. 거제상동초등학교 (상동동. 거제상동초등학교),거제상동초등학교,1,34.86150899,128.634227
경남,경상남도 거제시 중곡로2길 45. 거제중앙초등학교 (고현동),거제중앙초등학교,1,34.89544386,128.6347546
부산,부산광역시 연제구 해맞이로 39(거제동.거제초등학교),거제초등학교,1,35.17790187,129.0668991
강원,강원도 고성군 거진읍 자산리72번지,거진초등학교,1,38.43790849,128.445548
경남,경상남도 거창군 거창읍 중앙리311,거창초등학교,1,35.68756756,127.9109712
