시도,주소,학교명,상태_x,위도_x,경도_x,위도경도,상태_y,위도_y,경도_y
울산,울산광역시 북구 화암4길 5(산하동. 강동초등학교),강동초등학교,1,35.63116053,129.4348646,35.6311605252815129.43486463921118,,,
경북,경상북도 경주시 강동면 단구안계길 62-1(강동면)62-1,강동초등학교단구분교장,0,36.05140801,129.2442136,36.05140800539766129.2442136285699,,,
경북,경상북도 경주시 강동면 단구안계길62-1,강동초등학교단구분교장,1,36.05140801,129.2442136,36.05140800539766129.2442136285699,,,
경북,경북 경주시 강동면 왕신리669-1번지,강동초등학교왕신분교장,0,35.96740406,129.291124,35.96740405612125129.2911240465171,,,
경북,경북 경주시 강동면 왕신리669-1번지,강동초등학교왕신분교장,1,35.96740406,129.291124,35.96740405612125129.2911240465171,,,
경북,경북 경주시 강동면 왕신리669-1번지,강동초등학교왕신분교장,0,35.96740406,129.291124,35.96740405612125129.2911240465171,,,
경북,경북 경주시 강동면 왕신리669-1번지,강동초등학교왕신분교장,1,35.96740406,129.291124,35.96740405612125129.2911240465171,,,
경북,경상북도 경주시 강동면 왕신리 669-1,강동초왕신분교장,0,35.96740406,129.291124,35.96740405612125129.2911240465171,,,
강원,강원도 강릉시 홍제동38번지,강릉초등학교,1,37.75345044,128.8881936,37.75345044290732128.88819359860076,,,
강원,강원도 횡성군 강림면 태종로강림4길 11. 강림초등학교 (강림면. 강림초등학교),강림초등학교,1,37.35827044,128.1201054,37.35827043741387128.1201053930971,,,
강원,강원 횡성군 강림면 부곡리617,강림초등학교 부곡분교장,1,37.3313676,128.0864252,37.331367602956135128.08642524243768,,,
강원,강원도 횡성군 강림면 부곡2리617 번지,강림초등학교부곡분교장,0,37.35349882,128.1047798,37.353498818051754128.10477980908033,,,
강원,강원도 횡성군 강림면 부곡2리617 번지,강림초등학교부곡분교장,1,37.35349882,128.1047798,37.353498818051754128.10477980908033,,,
강원,강원도 횡성군 강림면 부곡2리617 번지,강림초등학교부곡분교장,0,37.35349882,128.1047798,37.353498818051754128.10477980908033,,,
강원,강원도 횡성군 강림면 부곡2리617 번지,강림초등학교부곡분교장,1,37.35349882,128.1047798,37.353498818051754128.10477980908033,,,
강원,강원도 횡성군 강림면 부곡리 617,강림초부곡분교장,0,37.3313676,128.0864252,37.331367602956135128.08642524243768,,,
충북,충청북도 청주시 흥덕구 비하로9번길 38. 강서초등학교 (비하동),강서초등학교,1,36.62823702,127.4235171,36.6282370226061127.42351709157828,,,
경기,경기도 고양시 일산서구 주엽동64번지,강선초등학교,1,37.67104351,126.7649785,37.67104351110074126.7649784886418,,,
충북,충북 청원군 오송읍 오송2길26,강외초등학교,1,36.61269567,127.325598,36.612695673843604127.32559799694208,,,
제주,제주특별자치도 서귀포시 말질로188,강정초등학교,1,33.23476069,126.478846,33.234760693080446126.4788459577485,,,
전남,전라남도 강진군 강진읍중앙로 180,강진동초등학교,1,34.64039422,126.7760657,34.64039422347275126.77606571899088,,,
전남,전라남도 강진군 강진읍지전로안길 83,강진북초등학교,1,34.64156795,126.7339182,34.64156795189583126.73391815187924,,,
전남,전남 강진군 강진읍 학명리320-1,강진서초등학교,0,34.61372918,126.7551332,34.61372918151321126.75513323217699,,,
전남,전남 강진군 강진읍 학명리320-1,강진서초등학교,1,34.61372918,126.7551332,34.61372918151321126.75513323217699,,,
전남,전남 강진군 강진읍 학명리320-1,강진서초등학교,0,34.61372918,126.7551332,34.61372918151321126.75513323217699,,,
전남,전남 강진군 강진읍 학명리320-1,강진서초등학교,1,34.61372918,126.7551332,34.61372918151321126.75513323217699,,,
충북,충청북도 충주시 앙성면 목미리 89-2,강천초,0,37.16256848,127.7521877,37.162568481956015127.75218772667806,,,
충북,충청북도 충주시 앙성면학교말2길 50,강천초등학교,1,37.16256848,127.7521877,37.162568481956015127.75218772667806,,,
강원,강원도 철원군 갈말읍 강포리 81-4,강포초,0,38.11600911,127.2941455,38.11600910762917127.29414551826444,,,
강원,강원도 철원군 갈말읍 강포2길18,강포초등학교,0,38.11600911,127.2941455,38.11600910762917127.29414551826444,,,
강원,강원도 철원군 갈말읍 강포리81-4 번지,강포초등학교,1,38.11600911,127.2941455,38.11600910762917127.29414551826444,,,
경기,경기도 양평군 강하면 운심리43-2,강하초등학교,1,37.49619991,127.4096704,37.496199910323284127.40967035990136,,,
강원,강원도 양양군 강현면 진미로12번길 22(강현면),강현초등학교,1,38.14931172,128.604019,38.14931172448289128.6040189552085,,,
인천,인천광역시 강화군 강화읍 북문길 36. 강화초등학교 (강화읍. 강화초등학교),강화초등학교,1,37.75022588,126.4862897,37.75022588295893126.48628968767453,,,
경기,경기도 김포시 월곶면 애기봉로 445(월곶면.개곡초등학교),개곡초등학교,1,37.73186121,126.593527,37.7318612135704126.59352700428086,,,
경기,경기도 양평군 개군면 하자포리자진개1길 23,개군초등학교,1,37.42768201,127.5346409,37.427682013961984127.53464094247887,,,
부산,부산광역시 부산진구 개금동476-1,개금초등학교,1,35.15432254,129.0199805,35.15432253657845129.01998045582843,,,
경북,경상북도 김천시 개령면 동부리60,개령초등학교,1,36.16760425,128.1922222,36.167604253967035128.19222217275842,,,
부산,부산광역시 부산진구 백양대로320번길40(개금동),개림초등학교,1,35.15606362,129.0163015,35.15606362257287129.01630150547018,,,
경기,경기도 안성시 금광면 외개산길 42(금광면),개산초등학교,1,36.98446647,127.3016021,36.984466467762644127.30160207958622,,,
울산,울산광역시 남구 선암동559-11,개운초등학교,1,35.51264296,129.3117868,35.51264296250187129.31178680318118,,,
부산,부산광역시 부산진구 백양관문로77번길 17. 개원초등학교 (개금동),개원초등학교,1,35.16478831,129.0285225,35.16478831446704129.02852251922042,,,
경북,경상북도 고령군 개진면 오사길83,개진초등학교,1,35.71649769,128.369069,35.716497685052914128.36906904574164,,,
경북,경북 고령군 개진면 생리251번지,개진초등학교영동분교장,0,35.71746786,128.4129919,35.717467859197804128.41299191767163,,,
경북,경상북도 고령군 개진면 생리 251,개진초영동분교장,0,35.71746786,128.4129919,35.717467859197804128.41299191767163,,,
경남,경상남도 고성군 개천면 옥천로1268,개천초등학교,1,35.09838843,128.2601184,35.09838842897648128.26011835363755,,,
부산,부산광역시 부산진구 백양대로208번길9(개금동)개포초등학교,개포초등학교,1,35.15849773,129.0266106,35.158497732524644129.02661056733643,,,
충남,충청남도 보령시 성주면 성주산로735,개화초등학교,1,36.30669533,126.6542789,36.306695333355336126.65427893746023,,,
경남,경상남도 고성군 거류면 당동리66,거류초등학교,1,34.99359665,128.4042563,34.993596654425765128.40425625817682,,,
전남,전라남도 여수시 삼산면 덕촌리 814-1,거문초덕촌분교장,0,34.02530979,127.3035248,34.02530979275622127.3035247577269,,,
전남,전라남도 여수시 삼산면거문학교길25,거문초등학교,1,34.02617764,127.312649,34.02617763845353127.31264898114729,,,
전남,전라남도 여수시 삼산면 덕흥1길26,거문초등학교덕촌분교장,0,34.02530979,127.3035248,34.02530979275622127.3035247577269,,,
전남,전라남도 여수시 삼산면 동도리1012,거문초등학교동도분교장,1,34.04979802,127.3124367,34.04979801889041127.31243673180886,,,
전남,전라남도 여수시 삼산면 서도리25,거문초등학교서도분교장,0,34.05592851,127.2963509,34.05592851076617127.29635085448908,,,
전남,전라남도 여수시 삼산면 손죽새터길 6-7거문초등학교손죽분교장,거문초등학교손죽분교장,1,34.28533386,127.3589771,34.28533386184605127.35897705215734,,,
강원,강원 평창군 진부면 신기리190번지,거문초등학교신기분교장,0,37.59565353,128.5626366,37.59565352587307128.56263661963965,,,
전남,전라남도 여수시 삼산면 서도리 25,거문초서도분교장,0,34.05592851,127.2963509,34.05592851076617127.29635085448908,,,
강원,강원도 평창군 진부면 신기리 190,거문초신기분교장,0,37.59565353,128.5626366,37.59565352587307128.56263661963965,,,
충남,충청남도 아산시 송악면 외암로460,거산초등학교,1,36.69200739,126.9896117,36.692007387614865126.9896116565888,,,
강원,강원도 고성군 거진읍 거진리180,거성초등학교,1,38.45228384,128.4575787,38.45228383929149128.45757866317447,,,
경남,경상남도 거제시 상동동497,거제고현초등학교,1,34.87361044,128.6289198,34.87361044145688128.62891981674244,,,
경남,경상남도 거제시 상동5길 75-41. 거제상동초등학교 (상동동. 거제상동초등학교),거제상동초등학교,1,34.86150899,128.634227,34.861508986999986128.63422704978746,,,
경남,경상남도 거제시 중곡로2길 45. 거제중앙초등학교 (고현동),거제중앙초등학교,1,34.89544386,128.6347546,34.89544385533605128.63475461685042,,,
부산,부산광역시 연제구 해맞이로 39(거제동.거제초등학교),거제초등학교,1,35.17790187,129.0668991,35.17790187346185129.06689914010656,,,
강원,강원도 고성군 거진읍 자산리72번지,거진초등학교,1,38.43790849,128.445548,38.43790849488252128.44554797676614,,,
강원,강원도 고성군 거진읍 송용길 12 (거진읍),거진초등학교송정분교장,0,38.44232647,128.4225502,38.4423264653849128.42255016589658,,,
강원,강원도 고성군 거진읍 송정리139 번지,거진초등학교송정분교장,1,38.44232647,128.4225502,38.4423264653849128.42255016589658,,,
강원,강원도 고성군 거진읍 송정리 139,거진초송정분교장,0,38.44232647,128.4225502,38.4423264653849128.42255016589658,,,
경남,경상남도 거창군 거창읍 중앙리311,거창초등학교,1,35.68756756,127.9109712,35.68756755997497127.91097122638584,,,
부산,부산광역시 연제구 교대로24번길 36(거제동.거학초등학교),거학초등학교,1,35.19715139,129.0771707,35.19715138575297129.07717069989036,,,
광주,광주광역시 북구 첨단연신로108번길 86. 건국초등학교 (신용동),건국초등학교,1,35.21049164,126.8658288,35.21049164366771126.86582878581972,,,
경기,경기도 구리시 인창동514,건원초등학교,1,37.60725866,127.1356122,37.607258655551604127.13561221911095,,,
경북,경상북도 경주시 건천읍 내서로1105,건천초등학교,1,35.85070944,129.1030567,35.85070944333885129.10305665624628,,,
경기,경기도 김포시 걸포로22(걸포동1565)걸포초등학교,걸포초등학교,1,37.63340195,126.7075678,37.63340194653261126.70756783294053,,,
울산,울산광역시 울주군 웅촌면 은현작동로 58. 검단초등학교 (웅촌면),검단초등학교,1,35.45756284,129.1776982,35.457562836478736129.177698239781,,,
경기,경기도 시흥시 은행동258-1,검바위초등학교,1,37.43250114,126.7991843,37.43250114271083126.79918428750216,,,
경기,경기도 파주시 검산로10,검산초등학교,1,37.77605672,126.739166,37.776056717028546126.73916604514456,,,
울산,울산시 남구 문수로344번길 4,격동초등학교,1,35.53395644,129.2901838,35.53395644322235129.29018382595282,,,
전북,전북 부안군 변산면격포리 271-53,격포초등학교,1,35.62594095,126.4742745,35.625940952746575126.47427452983408,,,
충남,충청남도 홍성군 결성면 홍남서로738번길 30(결성면.결성초등학교),결성초등학교,1,36.52443044,126.5444961,36.52443043823296126.54449608324181,,,
서울,서울특별시 서대문구 충정로2가70번지,경기초등학교,1,37.5653087,126.9637707,37.565308702620136126.9637706972869,,,
충북,충청북도 청주시 흥덕구 장구봉로36(가경동 1504),경덕초등학교,1,36.62121307,127.4381189,36.62121306877156127.43811892074841,,,
서울,서울특별시 광진구 천호대로130길 58. 경복초등학교 (능동),경복초등학교,1,37.55039749,127.0873368,37.550397486961127.0873367696133,,,
대구,대구광역시 중구 봉산동162 (중구 달구벌대로 2150),경북대학교사범대학부설초등학교,1,35.8638236,128.5981285,35.86382360228935128.5981285169855,,,
경북,경상북도 경산시 원효로28길 60-6(계양동.동부초등학교),경산동부초등학교,1,35.81784741,128.7487573,35.817847413442195128.74875725350716,,,
경북,경상북도 경산시 옥산동736-1번지,경산서부초등학교,1,35.82701722,128.7290854,35.82701721775615128.72908535254751,,,
경북,경상북도 경산시 압량면 압독2로 38(압량면),경산압량초등학교,1,35.84029279,128.7664879,35.840292791827146128.76648789113912,,,
경북,경상북도 경산시중앙초등길 9,경산중앙초등학교,1,35.82297367,128.7315381,35.82297367432041128.73153807220666,,,
충북,충청북도 청주시 흥덕구경산로 82-12,경산초등학교,1,36.62515053,127.4406947,36.62515052778127.4406946581528,,,
경기,경기도 안산시 상록구 성포동594-3,경수초등학교,1,37.32699176,126.8506089,37.32699176045403126.85060885537558,,,
경기,경기도 광주시 경안로 163. 경안초등학교 (경안동),경안초등학교,1,37.4113719,127.2475909,37.411371901765655127.24759086164892,,,
광주,광주광역시 북구 북문대로98번길 20. 경양초등학교 (운암동),경양초등학교,1,35.18032773,126.8785256,35.18032772658949126.87852555005621,,,
경남,김해시 우암로 73번길 8(내동)경운초등학교,경운초등학교,1,35.23815374,128.8609997,35.238153742679344128.8609996598345,,,
경기,경기도 의정부시 의정부3동366번지,경의초등학교,1,37.73381952,127.0510182,37.73381952215508127.05101817209957,,,
인천,인천광역시 계양구 효성동산19-1(안남로 656번지),경인교육대학교부설초등학교,1,37.5377326,126.7125311,37.53773259853058126.71253105895822,,,
경기,경기도 안산시 상록구 성포로 47(성포동.경일초등학교),경일초등학교,1,37.32383797,126.8476455,37.32383797429525126.84764554482412,,,
경북,경상북도 경주시 충효2길 20(충효동.경주초등학교),경주초등학교,1,35.84238673,129.1896159,35.84238672771821129.18961586498506,,,
경북,경상북도 경주시 건천읍 화천리 1328-1,경주초화천분교장,0,35.79693767,129.1379687,35.79693767058245129.13796871583298,,,
충남,충청남도 공주시 계룡면신원사로 112(경천리 371-1),경천초등학교,1,36.32427093,127.1496462,36.32427093051741127.14964615294883,,,
강원,강원도 강릉시 안현동106-6번지(민미마을길 21),경포대초등학교,1,37.80492404,128.9005397,37.80492403546235128.90053967024156,,,
강원,강원도 강릉시 솔올로 90. 경포초등학교 (교동),경포초등학교,1,37.76979728,128.8797349,37.7697972836988128.87973490572114,,,
전남,전라남도 여수시 대경도4길 48경호초등학교 (경호동),경호초등학교,1,34.71660085,127.7279351,34.716600854865234127.72793513956196,,,
전남,전라남도 여수시 소경도 1길40-5번지(경호동 783-3번지),경호초등학교소경분교장,0,34.70643058,127.7075438,34.70643058111023127.70754380794304,,,
전남,전라남도 여수시 소경도1길40-5,경호초등학교소경분교장,1,34.70643058,127.7075438,34.70643058111023127.70754380794304,,,
경남,경상남도 창원시 진해구 경화로38번길 5(경화동.경화초등학교),경화초등학교,1,35.15731388,128.6869367,35.157313883815476128.68693672655976,,,
전남,전라남도 해남군 계곡면성진리 231-1,계곡초등학교,1,34.64620277,126.6565864,34.646202774811464126.6565864375608,,,
전북,전북 장수군 계남면 화음리971번지,계남초등학교,1,35.70196956,127.5782003,35.70196955929038127.57820026215404,,,
경남,경상남도 김해시 장유면 대청리333-1,계동초등학교,1,35.18475833,128.7952135,35.184758328396924128.79521347925524,,,
충남,충청남도 공주시 계룡면 유평리286번지,계룡초등학교,1,36.35758884,127.1412335,36.35758883593546127.14123349579985,,,
전북,전북 장수군 계북면 어전리742번지,계북초등학교,1,35.78698756,127.617246,35.78698756174743127.6172460045588,,,
전남,전라남도 강진군 군동면호계리 709-1,계산초등학교,1,34.64558265,126.7859819,34.64558265472988126.78598193288805,,,
충남,충청남도 당진시 읍내동13,계성초등학교,1,36.89862794,126.6386441,36.8986279445588126.63864412847842,,,
광주,광주광역시 서구 치평동1166-6,계수초등학교,1,35.15589497,126.8448725,35.15589496673079126.84487250570973,,,
강원,강원도 평창군 방림면 계촌리 520,계촌초대미분교장,0,37.49098935,128.3039453,37.490989347958376128.30394528326534,,,
